name,author_name,scale,bpm
Nutshell,Alice in Chains,D#m,136
Runaway,AURORA,B,115
Fire And Rain,James Taylor,F,110
Candy,Paolo Nutini,G,125
Little Talks,Of Monsters and Men,C#,103
Let You Break My Heart Again,Laufey,D,77
Wildest Dreams,Taylor Swift,G#,140
Chandelier,Sia,C#,174
She Will Be Loved,Maroon 5,Cm,102
Scott Street,Phoebe Bridgers,A#,135
O Come O Come Emmanuel,Misc Christmas,C,172
Arcade,Duncan Laurence,Am,72
The Weight,The Beatles,C,84
Driving Home For Christmas,The Band,C#,94
Twinkle Twinkle Little Star,Chris Rea,E,130
Linger,Misc Children,D#,73
Pumped Up Kicks,The Cranberries,E,128
Million Reasons,Foster the People,C,130
Get Lucky,Lady Gaga,Gm,140
My Heart Will Go On,Michael Bublé,C#m,106
Dream A Little Dream Of Me,Celine Dion,D#,163
Make Room,The Mamas & The Papas,F,122
Matilda,Community Music,F,140
Autumn Leaves,Harry Styles,A#m,105
Cyberpunk 2077 - I Really Want To Stay At Your House,Eric Clapton,D#m,125
The Man Who Sold The World,Misc Computer Games,C#m,115
Back In Black,Nirvana,Dm,139
I Will Survive,AC/DC,Em,96
Lithium,Gloria Gaynor,G,121
Lyin Eyes,Nirvana,G,133
Say It Aint So,Eagles,D#,152
See You Again,Wiz Khalifa,A#,80
Oceans Where Feet May Fail,Charlie Puth,D,132
Dancing In The Moonlight,Hillsong United,A#,119
No Woman No Cry,Pink Floyd,Em,112
Merry Xmas Everybody,Bob Marley,E,126
Falling,Slade,C#,100
Mary,The Kid LAROI,E,120
Oh Pretty Woman,Alex G ((Sandy) Alex G),D,170
Baby One More Time,Roy Orbison,A,115
Heroes,Britney Spears,Fm,135
Youve Got A Friend,David Bowie,Cm,116
Mamma Mia,James Taylor,E,75
Last Christmas,ABBA,D,90
Holly Jolly Christmas,Wham!,C,140
How Far Ill Go,Misc Christmas,B,81
Let Me Down Slowly,Alessia Cara,C#m,150
Im Yours,Alec Benjamin,D,84
Live Forever,Jason Mraz,C,90
Boys Dont Cry,Oasis,F#,121
Big Jet Plane,The Cure,A#m,110
Little Lion Man,Angus & Julia Stone,F,139
Sweet Dreams Are Made Of This,Mumford & Sons,B,147
Bad Habits,Eurythmics,C#,169
Happier,Ed Sheeran,C,90
Vienna,Ed Sheeran,A#,125
Skinny Love,System Of A Down,E,167
Always On My Mind,Bon Iver,D,131
The Chain,Willie Nelson,G,79
Mrs Robinson,Fleetwood Mac,F#m,92
Everybody Hurts,Simon & Garfunkel,D,90
White Rabbit,R.E.M.,D,103
Je Te Laisserai Des Mots,Jefferson Airplane,D,108
Lover,Patrick Watson,F,102
Remember,Taylor Swift,F#,130
Bruises,Becky Hill,Gm,137
Just Like Heaven,David Guetta,G#,130
Livin On A Prayer,Lewis Capaldi,D,125
Last Kiss,The Cure,F,166
Black,Bon Jovi,A,128
Line Without A Hook,Pearl Jam,A,136
Starting Over,Pearl Jam,C,92
Lavender Haze,Ricky Montgomery,D#,118
The Long And Winding Road,Chris Stapleton,D#,132
K,Taylor Swift,G#,90
Im On Fire,The Beatles,C#m,89
Im In Love With You,Cigarettes After Sex,F,94
Titanium,Bruce Springsteen,G#m,124
Please Please Please Let Me Get What I Want,The Smiths,D,92
Eye Of The Tiger,Survivor,Cm,109
In The Aeroplane Over The Sea,Neutral Milk Hotel,G,94
Story Of My Life,One Direction,D#,121
Santeria,Sublime,C#m,91
Black Hole Sun,Soundgarden,G#,140
Save Tonight,Eagle-Eye Cherry,C,120
Me And Bobby Mcgee,Janis Joplin,D,93
Never Gonna Give You Up,Foo Fighters,G#,113
Old Town Road,Rick Astley,F#,136
Idontwannabeyouanymore,Lil Nas X,G,170
Pompeii,Billie Eilish,A,128
