name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,new_scale,new_bpm,Freq_map
Stay With Me,Sam Smith,C,84,Am,no capo,"['Am7', 'F', 'C', 'Gsus', 'Am', 'G', 'G#dim']",85 bpm,C,85 bpm,"{'Am7': 10, 'F': 28, 'C': 30, 'Gsus': 2, 'Am': 20, 'G': 5, 'G#dim': 5}"
Wellerman,The Longest Johns,D#,95,Am,3rd fret,"['Am', 'Dm', 'E', 'F', 'C', 'G']",95 bpm,D#,95 bpm,"{'Am': 38, 'Dm': 14, 'E': 12, 'F': 14, 'C': 14, 'G': 1}"
Made You Look,Meghan Trainor,A#,145,A#,1st fret,"['A', 'C#/F', 'F#m', 'D', 'E', 'B']",NF,A#,145,"{'C': 27, 'E/G#': 5, 'Am': 7, 'F': 10, 'G': 10, 'D': 2}"
Sweet Nothing,Taylor Swift,C,88,C,no capo,"['F', 'C/E', 'Dm7', 'C', 'G', 'Am', 'Em']",112 bpm,C,112 bpm,"{'F': 21, 'C/E': 17, 'Dm7': 17, 'C': 21, 'G': 4, 'Am': 3, 'Em': 1}"
Feathered Indians,Tyler Childers,G,87,Key Not Find,5th fret,"['D', 'A', 'G', 'A7', 'Bm']",168 bpm,G,168 bpm,"{'C': 12, 'G': 16, 'F': 28, 'G7': 8, 'Am': 5}"
Careless Whisper,Lady Gaga,Bm,159,Dm,no capo,"['Dm7', 'Gm7', 'A#maj7', 'Am7']",NF,Bm,159,"{'Cm7': 22, 'Fm7': 22, 'G#maj7': 22, 'Gm7': 22}"
Burn Burn Burn,Queen,D,125,Key Not Find,3rd fret,"['C', 'Am', 'G', 'F']",165 bpm,D,165 bpm,"{'C#': 45, 'A#m': 21, 'G#': 21, 'F#': 12}"
Romantic Homicide,Nirvana,G,136,F#,6th fret,"['Fmaj7', 'Cmaj7']",66 bpm,G,66 bpm,"{'Emaj7': 8, 'Bmaj7': 8}"
Believer,Olivia Rodrigo,D#,87,A#m,1st fret,"['Am', 'F', 'E', 'E/G#', 'G', 'E7', 'E7/G#']",63 bpm,D#,63 bpm,"{'Gm': 24, 'D#': 25, 'D': 18, 'D/F#': 3, 'F': 1, 'D7': 3, 'D7/F#': 1}"
Reckless Love,The Beatles,F#,111,Em,no capo,"['Em', 'D', 'C', 'G']",111 bpm,F#,111 bpm,"{'A#m': 36, 'G#': 36, 'F#': 36, 'C#': 28}"
